"","q","count","f"
"1","SESSION 1: OBSERVATION-BASED STUDIES",7,70
"2","SESSION 2: MODEL-BASED STUDIES",9,90
"3","SESSION 3: SYNERGY",8,80
"4","SESSION 4 : PROJECTIONS",5,50
"5","SESSION 5: INNOVATIVE METHODS",4,40
"6","DISCUSSION",4,40
